,sentiment_score,Economy - Monetary,Financial Markets,Earnings,Mergers & Acquisitions,Technology,Finance,Real Estate & Construction,Energy & Transportation,Economy - Fiscal,Retail & Wholesale,Manufacturing,Blockchain,Life Sciences,IPO,Economy - Macro,open,high,low,close,volume
2022-01-03,-0.12326546913580247,0.41484833333333343,0.4977029767441859,0.6568448275862069,0.158519,0.6864583124999999,0.6760416249999999,0.44000000000000006,0.67,0.158519,0.5958333333333333,0.571212090909091,0.44580460000000005,0.46666675,0.158519,0.28037819999999997,338.2950,341.0816,337.1900,338.5400,14562849
2022-01-04,-0.12326546913580247,0.41484833333333343,0.4977029767441859,0.6568448275862069,0.158519,0.6864583124999999,0.6760416249999999,0.44000000000000006,0.67,0.158519,0.5958333333333333,0.571212090909091,0.44580460000000005,0.46666675,0.158519,0.28037819999999997,339.9500,343.0854,331.8711,336.5300,15997974
2022-01-05,-0.12326546913580247,0.41484833333333343,0.4977029767441859,0.6568448275862069,0.158519,0.6864583124999999,0.6760416249999999,0.44000000000000006,0.67,0.158519,0.5958333333333333,0.571212090909091,0.44580460000000005,0.46666675,0.158519,0.28037819999999997,333.0200,335.7600,323.8400,324.1700,20564521
2022-01-06,-0.12326546913580247,0.41484833333333343,0.4977029767441859,0.6568448275862069,0.158519,0.6864583124999999,0.6760416249999999,0.44000000000000006,0.67,0.158519,0.5958333333333333,0.571212090909091,0.44580460000000005,0.46666675,0.158519,0.28037819999999997,322.8200,339.1650,322.7200,332.4600,27962809
2022-01-07,-0.12326546913580247,0.41484833333333343,0.4977029767441859,0.6568448275862069,0.158519,0.6864583124999999,0.6760416249999999,0.44000000000000006,0.67,0.158519,0.5958333333333333,0.571212090909091,0.44580460000000005,0.46666675,0.158519,0.28037819999999997,332.7400,337.0000,328.8801,331.7900,14722020
2022-01-10,-0.12326546913580247,0.41484833333333343,0.4977029767441859,0.6568448275862069,0.158519,0.6864583124999999,0.6760416249999999,0.44000000000000006,0.67,0.158519,0.5958333333333333,0.571212090909091,0.44580460000000005,0.46666675,0.158519,0.28037819999999997,325.3100,328.3400,315.4300,328.0700,24942383
2022-01-11,-0.12326546913580247,0.41484833333333343,0.4977029767441859,0.6568448275862069,0.158519,0.6864583124999999,0.6760416249999999,0.44000000000000006,0.67,0.158519,0.5958333333333333,0.571212090909091,0.44580460000000005,0.46666675,0.158519,0.28037819999999997,326.7800,334.6300,325.2800,334.3700,16191633
2022-01-12,-0.12326546913580247,0.41484833333333343,0.4977029767441859,0.6568448275862069,0.158519,0.6864583124999999,0.6760416249999999,0.44000000000000006,0.67,0.158519,0.5958333333333333,0.571212090909091,0.44580460000000005,0.46666675,0.158519,0.28037819999999997,335.1800,336.3650,330.0300,333.2600,14104858
2022-01-13,-0.12326546913580247,0.41484833333333343,0.4977029767441859,0.6568448275862069,0.158519,0.6864583124999999,0.6760416249999999,0.44000000000000006,0.67,0.158519,0.5958333333333333,0.571212090909091,0.44580460000000005,0.46666675,0.158519,0.28037819999999997,334.9800,335.6300,325.7600,326.4800,14797109
2022-01-14,-0.12326546913580247,0.41484833333333343,0.4977029767441859,0.6568448275862069,0.158519,0.6864583124999999,0.6760416249999999,0.44000000000000006,0.67,0.158519,0.5958333333333333,0.571212090909091,0.44580460000000005,0.46666675,0.158519,0.28037819999999997,321.7900,332.7300,321.2100,331.9000,16868497
2022-01-18,-0.12326546913580247,0.41484833333333343,0.4977029767441859,0.6568448275862069,0.158519,0.6864583124999999,0.6760416249999999,0.44000000000000006,0.67,0.158519,0.5958333333333333,0.571212090909091,0.44580460000000005,0.46666675,0.158519,0.28037819999999997,323.2900,324.2100,317.6400,318.1500,22352652
2022-01-19,-0.12326546913580247,0.41484833333333343,0.4977029767441859,0.6568448275862069,0.158519,0.6864583124999999,0.6760416249999999,0.44000000000000006,0.67,0.158519,0.5958333333333333,0.571212090909091,0.44580460000000005,0.46666675,0.158519,0.28037819999999997,319.5822,327.1000,319.3300,319.5900,20563976
2022-01-20,-0.12326546913580247,0.41484833333333343,0.4977029767441859,0.6568448275862069,0.158519,0.6864583124999999,0.6760416249999999,0.44000000000000006,0.67,0.158519,0.5958333333333333,0.571212090909091,0.44580460000000005,0.46666675,0.158519,0.28037819999999997,323.9000,327.8200,315.9800,316.5600,16925030
2022-01-21,-0.12326546913580247,0.41484833333333343,0.4977029767441859,0.6568448275862069,0.158519,0.6864583124999999,0.6760416249999999,0.44000000000000006,0.67,0.158519,0.5958333333333333,0.571212090909091,0.44580460000000005,0.46666675,0.158519,0.28037819999999997,314.8100,318.3100,303.0400,303.1700,28710717
2022-01-24,-0.12326546913580247,0.41484833333333343,0.4977029767441859,0.6568448275862069,0.158519,0.6864583124999999,0.6760416249999999,0.44000000000000006,0.67,0.158519,0.5958333333333333,0.571212090909091,0.44580460000000005,0.46666675,0.158519,0.28037819999999997,297.8400,309.5300,289.0100,308.7100,38936901
2022-01-25,-0.12326546913580247,0.41484833333333343,0.4977029767441859,0.6568448275862069,0.158519,0.6864583124999999,0.6760416249999999,0.44000000000000006,0.67,0.158519,0.5958333333333333,0.571212090909091,0.44580460000000005,0.46666675,0.158519,0.28037819999999997,299.9500,306.2300,297.5800,300.1500,25108454
